function,module,line,snippet
warehouse_name_for_message,Inventory,8181,function warehouse_name_for_message(
warehouse_display_name,Inventory,8186,function warehouse_display_name(
warehouse_stock_locations_for_message,Inventory,8192,function warehouse_stock_locations_for_message(
normalize_expiry,Masters / Common,8199,function normalize_expiry(
find_or_create_batch,Inventory,8203,function find_or_create_batch(
batch_info,Inventory,8215,function batch_info(
adjust_batch_stock,Inventory,8219,function adjust_batch_stock(
billable_quantity,Masters / Common,8223,function billable_quantity(
assert_transaction_item_values,Inventory,8226,function assert_transaction_item_values(
assert_warehouse_stock_available,Inventory,8247,function assert_warehouse_stock_available(
assert_pack_stock_available,Inventory,8258,function assert_pack_stock_available(
assert_sale_stock_available,Sales,8270,function assert_sale_stock_available(
assert_issue_stock_available,Inventory,8293,function assert_issue_stock_available(
assert_stock_posting_batch_integrity,Sales,8329,function assert_stock_posting_batch_integrity(
batch_options,Inventory,8346,function batch_options(
current_user,Administration,8362,function current_user(
current_user_stamp,Administration,8366,function current_user_stamp(
document_ownership_tables,Print / Documents,8373,function document_ownership_tables(
stamp_document_owner,Print / Documents,8379,function stamp_document_owner(
user_role,Administration,8390,function user_role(
normalize_role,Administration,8394,function normalize_role(
role_labels,Administration,8397,function role_labels(
default_role_permissions,Administration,8411,function default_role_permissions(
role_can,Administration,8425,function role_can(
require_permission,Administration,8451,function require_permission(
require_any_permission,Administration,8464,function require_any_permission(
machine_code_raw,Masters / Common,8476,function machine_code_raw(
machine_hash,Masters / Common,8480,function machine_hash(
install_code,Masters / Common,8483,function install_code(
license_status_codes,Administration,8486,function license_status_codes(
normalize_license_status,Administration,8489,function normalize_license_status(
license_status_label,Administration,8493,function license_status_label(
valid_client_license_key,Administration,8496,function valid_client_license_key(
strong_client_license_key,Administration,8499,function strong_client_license_key(
activation_base64url_encode,Masters / Common,8502,function activation_base64url_encode(
activation_base64url_decode,Masters / Common,8505,function activation_base64url_decode(
activation_key_pem_from_config,Masters / Common,8511,function activation_key_pem_from_config(
activation_public_key_pem,Masters / Common,8520,function activation_public_key_pem(
signed_license_public_key_pem,Administration,8524,function signed_license_public_key_pem(
activation_private_key_pem,Masters / Common,8527,function activation_private_key_pem(
activation_payload_json,Masters / Common,8531,function activation_payload_json(
activation_payload_for_license,Administration,8537,function activation_payload_for_license(
generate_activation_code,Masters / Common,8551,function generate_activation_code(
verify_activation_code,Masters / Common,8561,function verify_activation_code(
verify_signed_payload_token,Masters / Common,8583,function verify_signed_payload_token(
signed_license_block_reason,Administration,8600,function signed_license_block_reason(
verify_support_code,Masters / Common,8639,function verify_support_code(
license_requires_machine_activation,Administration,8655,function license_requires_machine_activation(
license_activation_block_reason,Administration,8658,function license_activation_block_reason(
client_code_from_name,Masters / Common,8674,function client_code_from_name(
generate_client_license_key,Administration,8687,function generate_client_license_key(
upsert_company_license,Administration,8697,function upsert_company_license(
sync_company_portal_configuration,Administration,8724,function sync_company_portal_configuration(
sync_license_business_types_from_companies,Administration,8763,function sync_license_business_types_from_companies(
local_license_record,Administration,8766,function local_license_record(
license_block_reason_from_record,Administration,8778,function license_block_reason_from_record(
developer_access_key,Administration,8797,function developer_access_key(
developer_allowed,Administration,8812,function developer_allowed(
require_developer,Administration,8815,function require_developer(
normalize_code,Masters / Common,8820,function normalize_code(
local_dev_company,Administration,8825,function local_dev_company(
local_company_block_reason,Administration,8850,function local_company_block_reason(
license_days_remaining,Administration,8879,function license_days_remaining(
current_business_type_code,Masters / Common,8884,function current_business_type_code(
code_list,Masters / Common,8888,function code_list(
common_print_header_template,Print / Documents,8896,function common_print_header_template(
print_template_shell_html,Print / Documents,8914,function print_template_shell_html(
print_template_css_stub,Print / Documents,8917,function print_template_css_stub(
distributor_a2_print_document_types,Print / Documents,8920,function distributor_a2_print_document_types(
distributor_a2_print_required,Print / Documents,8924,function distributor_a2_print_required(
enforce_distributor_a2_print_settings,Administration,8929,function enforce_distributor_a2_print_settings(
print_family_seed_rows,Print / Documents,8937,function print_family_seed_rows(
print_template_seed_rows,Print / Documents,8961,function print_template_seed_rows(
business_default_template_code_map,Masters / Common,9104,function business_default_template_code_map(
default_print_template_code_for_business_type,Print / Documents,9139,function default_print_template_code_for_business_type(
print_style_for_business_type,Print / Documents,9170,function print_style_for_business_type(
legacy_print_template_codes_for_business_type,Print / Documents,9180,function legacy_print_template_codes_for_business_type(
print_family_business_by_template_code,Print / Documents,9199,function print_family_business_by_template_code(
business_template_family_code,Masters / Common,9228,function business_template_family_code(
business_invoice_columns,Masters / Common,9261,function business_invoice_columns(
business_print_default_settings,Administration,9286,function business_print_default_settings(
